citation_key,citation_count,entry_type,year,journal_or_container,volume,pages_or_eid,doi,url,audit_status,audit_note
Abdo2010_1LAC,1,ARTICLE,,"ApJ}, year = {2010}, volume = {715}, pages = {429--457",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Abdollahi2020Fermi4FGL,1,ARTICLE,,"ApJS}, year = {2020}, volume = {247}, eid = {33",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Abe2026Extreme,5,ARTICLE,,"ApJ}, year = {2026}, volume = {1002}, eid = {138",,,10.3847/1538-4357/ae5a8a,,PASS,ApJ journal reference and DOI verified through arXiv/LST publication record.
Acciari2020Extreme,5,ARTICLE,,"ApJS}, year = {2020}, volume = {247}, eid = {16",,,10.3847/1538-4365/ab5b98,,PASS,"ApJS 247, 16 DOI verified."
Acero2015_3FGL,1,ARTICLE,,"ApJS}, year = {2015}, volume = {218}, eid = {23",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Aharonian2006HESS,1,ARTICLE,,"A\&A}, year = {2006}, volume = {457}, pages = {899--915",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Ajello2022_4LACDR3,1,ARTICLE,,"ApJS}, year = {2022}, volume = {263}, eid = {24",,,,,PASS,Official Fermi 4LAC-DR3 record identifies 12-year AGN catalogue.
Arsioli2015_1WHSP,1,ARTICLE,,"A\&A}, year = {2015}, volume = {579}, eid = {A34",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Atwood2009LAT,1,ARTICLE,,"ApJ}, year = {2009}, volume = {697}, pages = {1071--1102",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Ballet2023DR4,1,ARTICLE,,"arXiv e-prints}, year = {2023}, eid = {arXiv:2307.12546",,,,,PASS,Official Fermi 4FGL-DR4 product identifies 14-year release.
BiteauWilliams2015,1,ARTICLE,,"ApJ}, year = {2015}, volume = {812}, eid = {60",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
BlandfordRees1978,1,INPROCEEDINGS,1978,,,328--341,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Chang2019_3HSP,1,ARTICLE,,"A\&A}, year = {2019}, volume = {632}, eid = {A77",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Cortina2023ATel16381,2,MISC,2023,"The Astronomer's Telegram, No. 16381",,,,https://www.astronomerstelegram.org/?read=16381,PASS,Primary ATel URL present.
Costamante2020TeVPeaked,2,ARTICLE,,"MNRAS}, year = {2020}, volume = {491}, pages = {2771--2778",,,10.1093/mnras/stz3018,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
CostamanteGhisellini2002,2,ARTICLE,,"A\&A}, year = {2002}, volume = {384}, pages = {56--71",,,10.1051/0004-6361:20011749,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Cutri2021CatWISE,1,ARTICLE,,"ApJS}, year = {2021}, volume = {253}, eid = {8",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
DESI2024,1,ARTICLE,,"AJ}, year = {2024}, volume = {168}, eid = {58",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
DeLong1988ROC,1,ARTICLE,,"Biometrics}, year = {1988}, volume = {44}, pages = {837--845",,,10.2307/2531595,,PASS,Canonical correlated-AUROC method; DOI present.
Dey2019Legacy,1,ARTICLE,,"AJ}, year = {2019}, volume = {157}, eid = {168",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Dominguez2011EBL,1,ARTICLE,,"MNRAS}, year = {2011}, volume = {410}, pages = {2556--2578",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Finke2012Compton,1,ARTICLE,,"ApJ}, year = {2013}, volume = {763}, eid = {134",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Fossati1998Sequence,1,ARTICLE,,"MNRAS}, year = {1998}, volume = {299}, pages = {433--448",,,10.1046/j.1365-8711.1998.01828.x,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Franceschini2008EBL,1,ARTICLE,,"A\&A}, year = {2008}, volume = {487}, pages = {837--852",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Furniss2024ATel16458,2,MISC,2024,"The Astronomer's Telegram, No. 16458",,,,https://www.astronomerstelegram.org/?read=16458,PASS,Primary ATel URL present.
Gaia2016,1,ARTICLE,,"A\&A}, year = {2016}, volume = {595}, eid = {A1",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
GaiaDR32023,1,ARTICLE,,"A\&A}, year = {2023}, volume = {674}, eid = {A1",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Ghisellini1998Sequence,1,ARTICLE,,"MNRAS}, year = {1998}, volume = {301}, pages = {451--468",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Gilmore2012EBL,1,ARTICLE,,"MNRAS}, year = {2012}, volume = {422}, pages = {3189--3207",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Giommi2012,1,ARTICLE,,"MNRAS}, year = {2012}, volume = {420}, pages = {2899--2911",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Haemmerich2026BlazEr1,2,ARTICLE,,"A\&A}, year = {2026}, volume = {709}, eid = {A37",,,10.1051/0004-6361/202557854,,PASS,Official A&A/CDS record verified; 5865-source catalogue; DOI present.
Lacy2020VLASS,1,ARTICLE,,"PASP}, year = {2020}, volume = {132}, eid = {035001",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Lindegren2021EDR3,1,ARTICLE,,"A\&A}, year = {2021}, volume = {649}, eid = {A4",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Lister2019MOJAVE,1,ARTICLE,,"ApJ}, year = {2019}, volume = {874}, eid = {43",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Marchesi2025XrayTeV,2,ARTICLE,,"A\&A}, year = {2025}, volume = {693}, eid = {A142",,,10.1051/0004-6361/202451924,,PASS,"Official A&A/arXiv journal record verified; A&A 693, A142; DOI present."
Massaro2015WIBRaLS,1,ARTICLE,,"ApJS}, year = {2014}, volume = {215}, eid = {14",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Massaro2016WIBRaLS2,1,ARTICLE,,"ApJS}, year = {2019}, volume = {242}, eid = {4",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Merloni2012eROSITA,1,ARTICLE,,"arXiv e-prints}, year = {2012}, eid = {arXiv:1209.3114",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Merloni2024eRASS1,2,ARTICLE,,"A\&A}, year = {2024}, volume = {682}, eid = {A34",,,10.1051/0004-6361/202347165,,PASS,"Official A&A record verified; A&A 682, A34; DOI present."
Meyer2011BlazarSequence,1,ARTICLE,,"ApJ}, year = {2011}, volume = {740}, eid = {98",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Mirzoyan2019ATel12538,2,MISC,2019,"The Astronomer's Telegram, No. 12538",,,,https://www.astronomerstelegram.org/?read=12538,PASS,Primary ATel URL present.
Padovani2017Review,1,ARTICLE,,"A\&ARv}, year = {2017}, volume = {25}, eid = {2",,,10.1007/s00159-017-0102-9,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Piner2012TeVJets,1,ARTICLE,,"ApJ}, year = {2014}, volume = {797}, eid = {25",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
Predehl2021eROSITA,1,ARTICLE,,"A\&A}, year = {2021}, volume = {647}, eid = {A1",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
UrryPadovani1995,1,ARTICLE,,"PASP}, year = {1995}, volume = {107}, pages = {803--845",,,10.1086/133630,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
WakelyHoran2008TeVCat,1,INPROCEEDINGS,"2008}, volume = {3}, pages = {1341--1344",,,,,,PASS,HEASARC TEVCAT documentation verified; live table is updateable.
Wright2010WISE,1,ARTICLE,,"AJ}, year = {2010}, volume = {140}, pages = {1868--1881",,,,,PASS,BibTeX entry compiles and is cited; not independently re-queried in this audit.
